Settimana n.;Settimana;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Categoria incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2020-51;20-26 dicembre 2021;Puglia;24;303;93.009;3,26;<3,16;57;11,86;62;5,77;156;2,84;28;1,24
2020-51;20-26 dicembre 2021;Basilicata;73;23;15.639;1,47;<3,16;9;3,98;13;3,8;1;0,14;-;-
2020-51;20-26 dicembre 2021;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-51;20-26 dicembre 2021;Sicilia;102;624;122.605;5,09;<3,16;70;12,99;108;7,81;337;4,53;109;3,75
2020-51;20-26 dicembre 2021;Sardegna;5;27;6.447;4,19;;14;15,82;8;3,42;5;2,01;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;Piemonte;37;463;52.774;8,77;<3,16;59;30,27;71;15,5;285;8,99;48;3,3
2020-52;27 dicembre 2021-2 gennaio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2020-52;27 dicembre 2021-2 gennaio 2022;Lombardia;120;1.615;158.402;10,2;<3,16;136;12,34;185;7,41;1.097;12,53;197;5,65
2020-52;27 dicembre 2021-2 gennaio 2022;P.A. di Bolzano;3;6;4.403;1,36;;2;5,93;-;-;4;1,54;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;P. A. di Trento;3;16;4.289;3,73;<3,16;2;6,04;3;3,55;11;5,01;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;Veneto;35;111;50.772;2,19;<3,16;12;4,09;12;1,69;76;2,52;11;1,04
2020-52;27 dicembre 2021-2 gennaio 2022;Friuli V.G.;6;31;7.964;3,89;<3,16;2;3,79;-;-;25;6,76;4;2,13
2020-52;27 dicembre 2021-2 gennaio 2022;Liguria;16;62;20.438;3,03;<3,16;6;7,19;5;2,26;37;3,22;14;2,37
2020-52;27 dicembre 2021-2 gennaio 2022;Emilia Romagna;29;233;39.183;5,95;<3,16;28;17,77;18;4,84;169;7,03;18;1,83
2020-52;27 dicembre 2021-2 gennaio 2022;Toscana;24;248;39.671;6,25;<3,16;37;15,49;34;5,53;146;7,51;31;2,65
2020-52;27 dicembre 2021-2 gennaio 2022;Umbria;6;59;5.765;10,23;<3,16;14;13,66;18;8,05;20;10,48;7;11,76
2020-52;27 dicembre 2021-2 gennaio 2022;Marche;10;70;12.323;5,68;<3,16;11;8,49;7;2,09;48;8,81;4;1,8
2020-52;27 dicembre 2021-2 gennaio 2022;Lazio;191;957;251.772;3,8;<3,16;94;9,96;114;4,59;615;3,9;134;2,24
2020-52;27 dicembre 2021-2 gennaio 2022;Abruzzo;35;247;41.660;5,93;<3,16;35;18,24;44;8,82;145;5,73;23;2,43
2020-52;27 dicembre 2021-2 gennaio 2022;Molise;9;2;9.510;0,21;<3,16;-;-;-;-;2;0,31;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;Campania;4;27;4.278;6,31;<3,16;15;18,32;10;5,4;2;1,62;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;Puglia;67;474;82.816;5,72;<3,16;68;12,56;96;8,21;263;5,59;47;2,52
2020-52;27 dicembre 2021-2 gennaio 2022;Basilicata;12;25;15.639;1,6;<3,16;8;3,54;14;4,09;3;0,42;-;-
2020-52;27 dicembre 2021-2 gennaio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2020-52;27 dicembre 2021-2 gennaio 2022;Sicilia;86;513;105.152;4,88;<3,16;45;14,95;70;7,29;310;4,65;88;3,39
2020-52;27 dicembre 2021-2 gennaio 2022;Sardegna;-;-;-;-;;-;-;-;-;-;-;-;-
2021-01;3-9 gennaio 2022;Piemonte;39;507;55.322;9,16;<3,16;29;7,1;67;7,79;329;11,23;82;6,15
2021-01;3-9 gennaio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-01;3-9 gennaio 2022;Lombardia;157;1.701;207.598;8,19;<3,16;148;8,45;203;5,28;1.176;10,84;174;4,03
2021-01;3-9 gennaio 2022;P.A. di Bolzano;3;8;4.403;1,82;;3;8,9;2;2,51;3;1,16;-;-
2021-01;3-9 gennaio 2022;P. A. di Trento;4;9;5.838;1,54;<3,16;1;3,02;-;-;8;2,46;-;-
2021-01;3-9 gennaio 2022;Veneto;41;74;57.934;1,28;<3,16;6;1,61;4;0,46;62;1,96;2;0,14
2021-01;3-9 gennaio 2022;Friuli V.G.;5;16;5.921;2,7;<3,16;-;-;-;-;15;9,33;1;1,03
2021-01;3-9 gennaio 2022;Liguria;25;133;32.055;4,15;<3,16;7;5,88;19;6,47;92;4,97;15;1,59
2021-01;3-9 gennaio 2022;Emilia Romagna;28;277;32.025;8,65;<3,16;27;12,17;28;5,51;207;11,89;15;2,05
2021-01;3-9 gennaio 2022;Toscana;33;314;55.243;5,68;<3,16;22;8,17;30;4,19;211;7,23;51;3,14
2021-01;3-9 gennaio 2022;Umbria;7;36;7.263;4,96;<3,16;4;6,16;6;3,69;20;5,47;6;4,5
2021-01;3-9 gennaio 2022;Marche;13;85;16.750;5,07;<3,16;15;11,58;4;1,13;64;7,52;2;0,59
2021-01;3-9 gennaio 2022;Lazio;194;903;255.951;3,53;<3,16;89;8,95;118;4,51;564;3,54;132;2,18
2021-01;3-9 gennaio 2022;Abruzzo;30;181;35.381;5,12;<3,16;26;11,71;41;8,03;94;4,64;20;2,57
2021-01;3-9 gennaio 2022;Molise;7;5;7.186;0,7;<3,16;-;-;-;-;4;0,87;1;0,54
2021-01;3-9 gennaio 2022;Campania;6;72;6.732;10,7;<3,16;12;17,29;13;6,82;34;10,71;13;13,58
2021-01;3-9 gennaio 2022;Puglia;68;343;87.001;3,94;<3,16;56;12,09;71;7,08;176;3,39;40;1,95
2021-01;3-9 gennaio 2022;Basilicata;11;28;14.752;1,9;<3,16;8;5,01;14;4,38;6;0,83;-;-
2021-01;3-9 gennaio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2021-01;3-9 gennaio 2022;Sicilia;101;545;118.581;4,6;<3,16;69;12,81;109;8,11;275;3,84;92;3,27
2021-01;3-9 gennaio 2022;Sardegna;9;11;10.566;1,04;;3;1,97;1;0,31;-;-;7;4,39
2021-02;10-16 gennaio 2022;Piemonte;36;567;52.097;10,88;<3,16;25;12,5;56;11,84;404;12,93;82;5,81
2021-02;10-16 gennaio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-02;10-16 gennaio 2022;Lombardia;149;1.619;199.048;8,13;<3,16;143;9,89;212;6,44;1.073;9,91;191;4,4
2021-02;10-16 gennaio 2022;P.A. di Bolzano;4;18;5.586;3,22;<3,16;4;5,93;-;-;14;5,28;-;-
2021-02;10-16 gennaio 2022;P. A. di Trento;3;12;4.289;2,8;<3,16;2;6,04;1;1,18;8;3,65;1;1,09
2021-02;10-16 gennaio 2022;Veneto;42;102;59.397;1,72;<3,16;3;0,77;4;0,47;82;2,53;13;0,89
2021-02;10-16 gennaio 2022;Friuli V.G.;4;3;5.167;0,58;<3,16;-;-;1;0,36;2;1,87;-;-
2021-02;10-16 gennaio 2022;Liguria;16;57;20.709;2,75;<3,16;4;5,43;3;1,32;42;3,54;8;1,37
2021-02;10-16 gennaio 2022;Emilia Romagna;26;205;32.462;6,32;<3,16;17;15,61;14;5,1;157;7,85;17;1,97
2021-02;10-16 gennaio 2022;Toscana;26;162;42.628;3,8;<3,16;24;10,05;28;4,52;90;4,24;20;1,56
2021-02;10-16 gennaio 2022;Umbria;7;46;5.930;7,76;<3,16;11;10,73;15;6,31;16;8,01;4;7,56
2021-02;10-16 gennaio 2022;Marche;13;55;16.097;3,42;<3,16;8;5,24;4;0,97;42;5,66;1;0,33
2021-02;10-16 gennaio 2022;Lazio;188;789;247.720;3,19;<3,16;71;7,29;120;4,74;496;3,22;102;1,74
2021-02;10-16 gennaio 2022;Abruzzo;29;187;34.623;5,4;<3,16;35;15,63;37;7,01;94;4,78;21;2,82
2021-02;10-16 gennaio 2022;Molise;4;-;3.053;-;<3,16;-;-;-;-;-;-;-;-
2021-02;10-16 gennaio 2022;Campania;18;5;21.725;0,23;<3,16;-;-;-;-;5;0,5;-;-
2021-02;10-16 gennaio 2022;Puglia;57;237;74.437;3,18;<3,16;39;11,3;36;4,68;129;2,84;33;1,85
2021-02;10-16 gennaio 2022;Basilicata;12;11;15.639;0,7;<3,16;4;1,77;3;0,88;4;0,56;-;-
2021-02;10-16 gennaio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2021-02;10-16 gennaio 2022;Sicilia;97;471;117.883;4;<3,16;44;9,37;52;4,42;302;4,18;73;2,51
2021-02;10-16 gennaio 2022;Sardegna;8;12;9.677;1,24;;2;2,34;1;0,6;7;1,4;2;0,93
2021-03;17-23 gennaio 2022;Piemonte;40;477;58.798;8,11;<3,16;35;9,13;52;6,37;322;10,05;68;4,61
2021-03;17-23 gennaio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-03;17-23 gennaio 2022;Lombardia;201;1.897;266.809;7,11;<3,16;173;9,95;242;6,02;1.270;8,57;212;3,47
2021-03;17-23 gennaio 2022;P.A. di Bolzano;5;22;7.659;2,87;<3,16;5;14,84;4;4,68;12;2,52;1;0,58
2021-03;17-23 gennaio 2022;P. A. di Trento;3;10;4.234;2,36;<3,16;4;12,08;2;2,31;4;1,9;-;-
2021-03;17-23 gennaio 2022;Veneto;43;91;62.112;1,47;<3,16;15;5,45;13;1,94;57;1,56;6;0,37
2021-03;17-23 gennaio 2022;Friuli V.G.;6;24;8.441;2,84;<3,16;6;7,35;11;4,01;4;1,16;3;2,09
2021-03;17-23 gennaio 2022;Liguria;19;180;24.131;7,46;<3,16;23;20,44;35;11,41;105;8,01;17;2,49
2021-03;17-23 gennaio 2022;Emilia Romagna;32;217;39.933;5,43;<3,16;32;12,43;31;5,21;136;6,21;18;1,89
2021-03;17-23 gennaio 2022;Toscana;28;162;47.672;3,4;<3,16;26;10,8;26;4,16;88;3,57;22;1,53
2021-03;17-23 gennaio 2022;Umbria;8;49;8.113;6,04;<3,16;18;17,56;21;9,08;8;2,11;2;2,04
2021-03;17-23 gennaio 2022;Marche;15;73;17.475;4,18;<3,16;16;8,7;6;1,22;49;6,42;2;0,65
2021-03;17-23 gennaio 2022;Lazio;190;820;250.416;3,27;<3,16;77;7,91;123;4,84;500;3,21;120;2,02
2021-03;17-23 gennaio 2022;Abruzzo;30;132;35.417;3,73;<3,16;17;6,01;36;5,79;66;3,38;13;1,9
2021-03;17-23 gennaio 2022;Molise;10;13;10.330;1,26;<3,16;-;-;-;-;10;1,49;3;1,06
2021-03;17-23 gennaio 2022;Campania;4;19;5.503;3,45;<3,16;10;40,49;6;6,7;2;0,59;1;1,04
2021-03;17-23 gennaio 2022;Puglia;63;263;79.408;3,31;<3,16;59;14,41;57;6,4;120;2,53;27;1,43
2021-03;17-23 gennaio 2022;Basilicata;11;10;14.147;0,71;<3,16;4;2,24;2;0,82;4;0,56;-;-
2021-03;17-23 gennaio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2021-03;17-23 gennaio 2022;Sicilia;72;382;90.784;4,21;<3,16;21;7,09;41;5,19;244;4,34;76;3,21
2021-03;17-23 gennaio 2022;Sardegna;12;10;14.866;0,67;;2;1,31;3;0,88;4;0,56;1;0,36
2021-04;24-30 gennaio 2022;Piemonte;45;586;64.068;9,15;<3,16;48;14,08;74;10,12;404;10,94;60;3,65
2021-04;24-30 gennaio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-04;24-30 gennaio 2022;Lombardia;166;1.287;220.480;5,84;<3,16;180;10,31;194;4,97;774;6,59;139;2,98
2021-04;24-30 gennaio 2022;P.A. di Bolzano;6;15;8.842;1,7;<3,16;3;4,45;1;0,61;11;2,29;-;-
2021-04;24-30 gennaio 2022;P. A. di Trento;6;15;8.232;1,82;<3,16;2;6,04;3;3,26;9;1,81;1;0,5
2021-04;24-30 gennaio 2022;Veneto;37;60;51.703;1,16;<3,16;12;3,6;18;2,23;28;1;2;0,16
2021-04;24-30 gennaio 2022;Friuli V.G.;6;37;7.113;5,2;<3,16;7;5,85;12;3,61;17;10,49;1;1,03
2021-04;24-30 gennaio 2022;Liguria;17;54;21.534;2,51;<3,16;4;5,43;1;0,43;42;3,45;7;1,11
2021-04;24-30 gennaio 2022;Emilia Romagna;31;220;38.166;5,76;<3,16;50;28;47;10,83;109;4,87;14;1,45
2021-04;24-30 gennaio 2022;Toscana;24;154;39.993;3,85;<3,16;34;15,41;37;6,81;68;3,33;15;1,26
2021-04;24-30 gennaio 2022;Umbria;9;85;9.362;9,08;<3,16;25;24,39;23;9,99;33;7,35;4;2,59
2021-04;24-30 gennaio 2022;Marche;16;59;18.404;3,21;<3,16;17;7,79;9;1,64;32;4,19;1;0,32
2021-04;24-30 gennaio 2022;Lazio;195;713;256.726;2,78;<3,16;72;7,42;96;3,76;446;2,77;99;1,63
2021-04;24-30 gennaio 2022;Abruzzo;26;86;30.149;2,85;<3,16;21;11,86;16;3,4;40;2,32;9;1,4
2021-04;24-30 gennaio 2022;Molise;11;16;12.164;1,32;<3,16;-;-;2;3,38;9;1,1;5;1,59
2021-04;24-30 gennaio 2022;Campania;8;17;7.645;2,22;<3,16;8;3,94;7;1,75;2;1,62;-;-
2021-04;24-30 gennaio 2022;Puglia;59;322;76.421;4,21;<3,16;28;7,66;56;6,32;197;4,3;41;2,27
2021-04;24-30 gennaio 2022;Basilicata;11;3;14.147;0,21;<3,16;1;0,56;2;0,82;-;-;-;-
2021-04;24-30 gennaio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2021-04;24-30 gennaio 2022;Sicilia;110;433;132.133;3,28;<3,16;49;9,5;87;6,62;235;2,88;62;1,93
2021-04;24-30 gennaio 2022;Sardegna;2;-;1.683;-;;-;-;-;-;-;-;-;-
2021-05;31 gennaio-6 febbraio 2022;Piemonte;36;334;51.390;6,5;<3,16;37;9,87;49;6,36;213;7,7;35;2,85
2021-05;31 gennaio-6 febbraio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-05;31 gennaio-6 febbraio 2022;Lombardia;170;1.013;228.071;4,44;<3,16;130;7,68;123;3,28;654;5,26;106;2,15
2021-05;31 gennaio-6 febbraio 2022;P.A. di Bolzano;5;7;7.659;0,91;<3,16;4;11,87;-;-;3;0,63;-;-
2021-05;31 gennaio-6 febbraio 2022;P. A. di Trento;7;21;9.858;2,13;<3,16;11;30,05;3;2,91;7;1,21;-;-
2021-05;31 gennaio-6 febbraio 2022;Veneto;30;55;41.181;1,34;<3,16;8;2,1;9;1,06;35;1,76;3;0,33
2021-05;31 gennaio-6 febbraio 2022;Friuli V.G.;5;26;6.114;4,25;<3,16;3;3,68;11;4,06;10;6,18;2;2,06
2021-05;31 gennaio-6 febbraio 2022;Liguria;15;64;18.915;3,38;<3,16;7;8,39;19;8,74;34;3,27;4;0,73
2021-05;31 gennaio-6 febbraio 2022;Emilia Romagna;31;159;38.840;4,09;<3,16;17;8,87;28;6,06;95;4,21;19;1,95
2021-05;31 gennaio-6 febbraio 2022;Toscana;24;98;39.191;2,5;<3,16;28;10,4;26;3,72;37;1,95;7;0,66
2021-05;31 gennaio-6 febbraio 2022;Umbria;7;73;7.014;10,41;<3,16;26;25,37;25;11,23;14;5,38;8;6,88
2021-05;31 gennaio-6 febbraio 2022;Marche;14;46;17.102;2,69;<3,16;14;7,62;6;1,29;24;3,2;2;0,64
2021-05;31 gennaio-6 febbraio 2022;Lazio;182;535;239.746;2,23;<3,16;57;6,02;79;3,21;331;2,23;68;1,19
2021-05;31 gennaio-6 febbraio 2022;Abruzzo;35;142;41.976;3,38;<3,16;29;10,25;37;5,71;68;2,85;8;0,91
2021-05;31 gennaio-6 febbraio 2022;Molise;11;8;12.164;0,66;<3,16;-;-;-;-;6;0,74;2;0,63
2021-05;31 gennaio-6 febbraio 2022;Campania;23;26;28.769;0,9;<3,16;8;2,19;11;1,56;7;0,51;-;-
2021-05;31 gennaio-6 febbraio 2022;Puglia;58;211;73.035;2,89;<3,16;44;12,25;57;6,67;91;2,09;19;1,1
2021-05;31 gennaio-6 febbraio 2022;Basilicata;11;7;14.147;0,49;<3,16;1;0,56;-;-;6;0,84;-;-
2021-05;31 gennaio-6 febbraio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2021-05;31 gennaio-6 febbraio 2022;Sicilia;103;366;123.869;2,95;<3,16;48;9,88;82;6,31;192;2,51;44;1,49
2021-05;31 gennaio-6 febbraio 2022;Sardegna;11;6;13.587;0,44;;1;0,66;-;-;1;0,16;4;1,7
2021-06;7-13 febbraio 2022;Piemonte;41;300;58.129;5,16;<3,16;37;8,9;39;4,67;199;6,29;25;1,79
2021-06;7-13 febbraio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-06;7-13 febbraio 2022;Lombardia;159;769;213.697;3,6;<3,16;129;7,84;118;3,27;428;3,74;94;2,01
2021-06;7-13 febbraio 2022;P.A. di Bolzano;5;8;7.659;1,04;<3,16;4;11,87;-;-;4;0,84;-;-
2021-06;7-13 febbraio 2022;P. A. di Trento;10;21;14.519;1,45;<3,16;6;16,39;2;1,81;12;1,3;1;0,26
2021-06;7-13 febbraio 2022;Veneto;31;52;43.700;1,19;<3,16;5;1,4;2;0,25;39;1,74;6;0,61
2021-06;7-13 febbraio 2022;Friuli V.G.;5;10;6.166;1,62;<3,16;3;2,74;7;2,04;-;-;-;-
2021-06;7-13 febbraio 2022;Liguria;18;55;23.109;2,38;<3,16;4;8,99;4;2,65;33;2,33;14;2
2021-06;7-13 febbraio 2022;Emilia Romagna;30;135;36.742;3,67;<3,16;18;9,31;16;3,45;90;4,26;11;1,21
2021-06;7-13 febbraio 2022;Toscana;30;110;51.220;2,15;<3,16;25;10,46;15;2,4;58;2,15;12;0,77
2021-06;7-13 febbraio 2022;Umbria;9;63;9.089;6,93;<3,16;24;19,18;20;7,92;17;4,37;2;1,4
2021-06;7-13 febbraio 2022;Marche;12;35;15.392;2,27;<3,16;8;6,53;4;1,12;20;2,67;3;0,97
2021-06;7-13 febbraio 2022;Lazio;192;525;253.698;2,07;<3,16;56;5,81;84;3,29;313;1,97;72;1,2
2021-06;7-13 febbraio 2022;Abruzzo;30;112;35.596;3,15;<3,16;24;9,6;25;4,16;48;2,43;15;2,04
2021-06;7-13 febbraio 2022;Molise;11;7;12.164;0,58;<3,16;-;-;2;3,38;3;0,37;2;0,63
2021-06;7-13 febbraio 2022;Campania;4;3;4.793;0,63;<3,16;1;2,27;1;0,83;1;0,41;-;-
2021-06;7-13 febbraio 2022;Puglia;51;267;64.734;4,12;<3,16;57;13,81;67;7,67;115;3,1;28;1,89
2021-06;7-13 febbraio 2022;Basilicata;11;8;14.147;0,57;<3,16;5;2,8;3;1,23;-;-;-;-
2021-06;7-13 febbraio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2021-06;7-13 febbraio 2022;Sicilia;75;326;91.152;3,58;<3,16;37;12,39;66;7,96;172;3,01;51;2,24
2021-06;7-13 febbraio 2022;Sardegna;11;6;13.703;0,44;;2;1,67;1;0,43;2;0,27;1;0,37
2021-07;14-20 febbraio 2022;Piemonte;51;336;73.734;4,56;<3,16;59;13,13;56;5,78;193;4,71;28;1,5
2021-07;14-20 febbraio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-07;14-20 febbraio 2022;Lombardia;166;771;224.228;3,44;<3,16;160;11,03;125;3,72;396;3,15;90;1,79
2021-07;14-20 febbraio 2022;P.A. di Bolzano;5;21;7.659;2,74;<3,16;8;23,74;3;3,51;10;2,1;-;-
2021-07;14-20 febbraio 2022;P. A. di Trento;13;22;17.568;1,25;<3,16;4;5,45;4;2,17;14;1,32;-;-
2021-07;14-20 febbraio 2022;Veneto;29;43;39.161;1,1;<3,16;17;4;12;1,18;14;0,82;-;-
2021-07;14-20 febbraio 2022;Friuli V.G.;4;7;5.467;1,28;<3,16;4;8,58;2;1,06;1;0,47;-;-
2021-07;14-20 febbraio 2022;Liguria;18;75;23.163;3,24;<3,16;15;13,33;9;2,99;38;3;13;2,04
2021-07;14-20 febbraio 2022;Emilia Romagna;33;104;40.551;2,56;<3,16;20;9,91;15;2,94;58;2,45;11;1,13
2021-07;14-20 febbraio 2022;Toscana;30;112;51.374;2,18;<3,16;29;10,77;18;2,54;45;1,71;20;1,31
2021-07;14-20 febbraio 2022;Umbria;7;44;6.538;6,73;<3,16;18;17,56;17;7,5;8;3,13;1;1,45
2021-07;14-20 febbraio 2022;Marche;16;36;18.805;1,91;<3,16;3;1,63;7;1,47;21;2,42;5;1,42
2021-07;14-20 febbraio 2022;Lazio;193;473;253.257;1,87;<3,16;59;5,93;62;2,38;289;1,83;63;1,06
2021-07;14-20 febbraio 2022;Abruzzo;32;79;38.192;2,07;<3,16;18;7,12;25;4,15;32;1,49;4;0,49
2021-07;14-20 febbraio 2022;Molise;7;1;6.328;0,16;<3,16;-;-;-;-;-;-;1;0,63
2021-07;14-20 febbraio 2022;Campania;31;51;41.107;1,24;<3,16;10;2,74;11;1,53;23;0,98;7;1,03
2021-07;14-20 febbraio 2022;Puglia;64;282;80.994;3,48;<3,16;67;15,4;58;6,07;121;2,53;36;1,87
2021-07;14-20 febbraio 2022;Basilicata;11;15;14.147;1,06;<3,16;5;2,8;3;1,23;4;0,56;3;1,09
2021-07;14-20 febbraio 2022;Calabria;nd;nd;nd;nd;;nd;nd;nd;nd;nd;nd;nd;nd
2021-07;14-20 febbraio 2022;Sicilia;108;397;132.006;3,01;<3,16;60;11,11;80;6,13;211;2,59;46;1,44
2021-07;14-20 febbraio 2022;Sardegna;12;8;14.866;0,54;;3;1,97;2;0,59;3;0,42;-;-
2021-08;21-27 febbraio 2022;Piemonte;36;255;49.658;5,14;<3,16;48;12,23;41;5,11;140;5,35;26;2,26
2021-08;21-27 febbraio 2022;Val D'Aosta;nd;nd;nd;nd;<3,16;nd;nd;nd;nd;nd;nd;nd;nd
2021-08;21-27 febbraio 2022;Lombardia;170;758;223.614;3,39;<3,16;175;10,89;120;3,22;379;3,11;84;1,73
2021-08;21-27 febbraio 2022;P.A. di Bolzano;5;14;7.659;1,83;<3,16;4;11,87;3;3,51;7;1,47;-;-
2021-08;21-27 febbraio 2022;P. A. di Trento;7;15;10.082;1,49;<3,16;2;6,04;2;2,09;10;1,61;1;0,39
2021-08;21-27 febbraio 2022;Veneto;24;18;33.824;0,53;<3,16;5;2,39;2;0,44;8;0,43;3;0,34
2021-08;21-27 febbraio 2022;Friuli V.G.;6;30;7.908;3,79;<3,16;8;9,8;3;1,1;15;5,07;4;2,84
2021-08;21-27 febbraio 2022;Liguria;19;68;25.030;2,72;<3,16;13;11,56;15;4,92;30;2,18;10;1,41
2021-08;21-27 febbraio 2022;Emilia Romagna;28;110;30.872;3,56;<3,16;35;18,92;30;6,79;37;2,15;8;1,08
2021-08;21-27 febbraio 2022;Toscana;24;112;38.824;2,88;<3,16;33;12,26;22;3,16;49;2,63;8;0,76
2021-08;21-27 febbraio 2022;Umbria;6;37;6.397;5,78;<3,16;18;17,56;18;8,1;1;0,47;-;-
2021-08;21-27 febbraio 2022;Marche;13;26;16.191;1,61;<3,16;4;2,51;2;0,5;17;2,26;3;0,97
2021-08;21-27 febbraio 2022;Lazio;177;472;232.625;2,03;<3,16;64;7;68;2,84;266;1,84;74;1,34
2021-08;21-27 febbraio 2022;Abruzzo;28;101;33.793;2,99;<3,16;21;8,31;33;5,66;34;1,84;13;1,86
2021-08;21-27 febbraio 2022;Molise;11;12;12.164;0,99;<3,16;-;-;-;-;12;1,47;-;-
2021-08;21-27 febbraio 2022;Campania;10;42;12.511;3,36;<3,16;7;6,32;21;8,81;10;1,44;4;1,92
2021-08;21-27 febbraio 2022;Puglia;50;194;63.354;3,06;<3,16;52;15,22;60;7,7;63;1,67;19;1,31
