Settimana;0_4;5_14;15_64;65 e oltre;Totale
2021-44;15,83;3,79;3,02;1,64;3,49
2021-45;17,87;4,47;3,63;2,07;4,16
2021-46;21,25;5,49;4,04;2,33;4,77
2021-47;21,05;5,68;4,02;2,29;4,76
2021-48;17,58;5,62;4,37;2,54;4,77
2021-49;14,53;4,79;3,75;2,28;4,11
2021-50;15,13;5,36;4,14;2,28;4,42
2021-51;13,14;5,55;4,89;2,5;4,88
2021-52;12,04;6,05;6,11;2,94;5,67
2022-01;8,58;5,07;5,8;2,77;5,16
2022-02;7,84;4,53;5,34;2,5;4,71
2022-03;9,38;5,16;4,99;2,37;4,63
2022-04;9,47;4,87;4,21;1,94;4,08
2022-05;7,6;3,9;3,19;1,43;3,16
2022-06;7,92;3,63;2,8;1,48;2,9
2022-07;8,88;3,43;2,37;1,31;2,64
2022-08;9,78;4,03;2,35;1,37;2,79
2022-09;10,4;4,08;2,58;1,16;2,89
2022-10;11,82;5,06;3,62;1,55;3,82
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;