Settimana;Assistiti (0-4 anni);Assistiti (5-14 anni);Assistiti (15-64 anni);Assistiti (65 anni e oltre);Totale
2021-42;95.765;224.306;976.960;395.890;1.692.921
2021-43;95.726;224.517;986.096;399.240;1.705.579
2021-44;95.533;224.603;989.931;400.031;1.710.098
2021-45;95.296;224.232;1.005.925;407.086;1.732.539
2021-46;95.140;223.664;1.001.677;403.910;1.724.391
2021-47;95.504;225.040;1.007.539;406.977;1.735.060
2021-48;93.703;220.582;994.311;400.928;1.709.524
2021-49;92.361;217.819;994.057;401.860;1.706.097
2021-50;93.104;219.348;980.111;396.819;1.689.382
2021-51;92.538;217.633;961.739;389.515;1.661.425
2021-52;91.256;215.166;947.058;381.585;1.635.065
2022-01;90.357;212.287;941.245;379.981;1.623.870
2022-02;89.737;210.961;925.205;373.561;1.599.464
2022-03;88.730;208.345;915.593;369.311;1.581.979
2022-04;88.204;206.849;899.548;364.452;1.559.053
2022-05;84.957;199.726;880.475;356.067;1.521.225
2022-06;83.344;195.701;854.064;345.278;1.478.387
2022-07;79.070;185.229;828.751;335.164;1.428.214
2022-08;77.484;182.192;791.301;320.763;1.371.740
2022-09;69.823;165.570;726.815;297.160;1.259.368
2022-10;54.493;130.421;530.153;216.165;931.232
2022-11;;;;;
2022-12;;;;;
2022-13;;;;;
2022-14;;;;;
2022-15;;;;;
2022-16;;;;;
2022-17;;;;;