Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
Piemonte;37;463;52.774;8,77;59;30,27;71;15,50;285;8,99;48;3,30
Val D'Aosta;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Lombardia;120;1.615;158.402;10,20;136;12,34;185;7,41;1.097;12,53;197;5,65
P.A. di Bolzano;3;6;4.403;1,36;2;5,93;-;-;4;1,54;-;-
P. A. di Trento;3;16;4.289;3,73;2;6,04;3;3,55;11;5,01;-;-
Veneto;35;111;50.772;2,19;12;4,09;12;1,69;76;2,52;11;1,04
Friuli V.G.;6;31;7.964;3,89;2;3,79;-;-;25;6,76;4;2,13
Liguria;16;62;20.438;3,03;6;7,19;5;2,26;37;3,22;14;2,37
Emilia Romagna;29;233;39.183;5,95;28;17,77;18;4,84;169;7,03;18;1,83
Toscana;24;248;39.671;6,25;37;15,49;34;5,53;146;7,51;31;2,65
Umbria;6;59;5.765;10,23;14;13,66;18;8,05;20;10,48;7;11,76
Marche;10;70;12.323;5,68;11;8,49;7;2,09;48;8,81;4;1,80
Lazio;191;957;251.772;3,80;94;9,96;114;4,59;615;3,90;134;2,24
Abruzzo;35;247;41.660;5,93;35;18,24;44;8,82;145;5,73;23;2,43
Molise;9;2;9.510;0,21;-;-;-;-;2;0,31;-;-
Campania;4;27;4.278;6,31;15;18,32;10;5,40;2;1,62;-;-
Puglia;67;474;82.816;5,72;68;12,56;96;8,21;263;5,59;47;2,52
Basilicata;12;25;15.639;1,60;8;3,54;14;4,09;3;0,42;-;-
Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
Sicilia;86;513;105.152;4,88;45;14,95;70;7,29;310;4,65;88;3,39
Sardegna;-;-;-;-;-;-;-;-;-;-;-;-