regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B.1-617-2;n_B-1-1-529;Other;percent_B.1-617-2;percent_B-1-1-529
Abruzzo;2;1990;117;26;91;0;22,2;77,8
Basilicata;2;535;11;0;11;0;0;100
Calabria;4;1073;40;10;25;0;28,6;71,4
Campania;3;9802;221;62;151;0;29,1;70,9
Emilia-Romagna;3;131;131;27;104;0;20,6;79,4
Friuli-Venezia Giulia;8;422;96;34;62;0;35,4;64,6
Lazio;4;407;345;44;257;0;14,6;85,4
Liguria;8;815;30;7;23;0;23,3;76,7
Lombardia;16;443;443;50;393;0;11,3;88,7
Marche;5;82;50;9;41;0;18;82
Molise;1;46;46;1;45;0;2,2;97,8
P.A. Bolzano;1;371;24;10;13;1;41,7;54,2
P.A. Trento;1;26;26;6;19;0;24;76
Piemonte;14;101;101;23;76;0;23,2;76,8
Puglia;11;76;74;6;68;0;8,1;91,9
Sardegna;10;1237;54;9;45;0;16,7;83,3
Sicilia;5;1807;274;58;216;0;21,2;78,8
Toscana;3;276;139;15;124;0;10,8;89,2
Umbria;5;1036;91;6;84;0;6,7;93,3
Valle d'Aosta;1;3;3;2;1;0;66,7;33,3
Veneto;13;316;316;107;209;0;33,9;66,1
ITALIA;120;20995;2632;512;2058;1;19,22;80,75